date,L65_overheat_fired,top10_sector,top10_sector_pct,top10_pos_or_strong_pos_count,top10_strong_neg_count,top10_pre5d_mean_pct,top10_news_labels,top10_names,top30_top_sector,top30_top_sector_pct,top30_ret_1d,top30_ret_3d,top30_ret_5d,n_ret_1d,n_ret_5d
2025-10-27,False,Manufacturing,0.7,3,0,5.653168065499999,NO-NEWS;STRONG-POS;NEG;POS;NEG;NEUTRAL;POS;NEG;NO-NEWS;NO-NEWS,SNDK/AMD/MU/APP/CNC/CIEN/STX/NEM/LITE/ALB,Manufacturing,0.6666666666666666,0.023198676109313955,0.009099682172139493,-0.021485167741775495,30,30
2025-10-28,True,Manufacturing,0.8,5,0,8.05088115,NO-NEWS;POS;NO-NEWS;STRONG-POS;POS;POS;POS;NEG;NEUTRAL;NO-NEWS,SNDK/APP/CIEN/AMD/VRT/STX/LITE/NEM/SMCI/COHR,Manufacturing,0.5333333333333333,-0.027062304814656542,-0.010299428304036433,-0.011678194999694809,30,30
2025-10-29,False,Manufacturing,0.8,4,0,17.580110048,STRONG-POS;NO-NEWS;NO-NEWS;NO-NEWS;POS;NEUTRAL;POS;POS;NEUTRAL;NO-NEWS,AMD/SNDK/CIEN/WDC/LITE/WBD/VRT/HOOD/SMCI/COHR,Manufacturing,0.6,0.00821582873662312,-0.020392249027887964,0.008501567443211877,30,30
2025-10-30,True,Manufacturing,0.9,5,0,9.945152449999998,STRONG-POS;NO-NEWS;NO-NEWS;NEUTRAL;POS;POS;NO-NEWS;NEUTRAL;POS;STRONG-POS,AMD/SNDK/CIEN/MU/VRT/LITE/WDC/PSKY/STX/LRCX,Manufacturing,0.6,0.00420886675516765,0.009395088752110774,0.005611230929692597,30,30
2025-10-31,True,Manufacturing,0.9,7,0,5.44961757,NO-NEWS;NEUTRAL;NO-NEWS;POS;POS;STRONG-POS;POS;STRONG-POS;POS;POS,SNDK/MU/CIEN/VRT/LITE/AMD/STX/LRCX/WDC/ORCL,Manufacturing,0.6,-0.03325026830037432,-0.0034413913885752334,0.02947051922480266,30,30
2025-11-03,True,Manufacturing,0.9,7,0,6.863587481940001,NO-NEWS;POS;POS;NO-NEWS;POS;POS;NO-NEWS;STRONG-POS;POS;POS,SNDK/STX/LITE/CIEN/WDC/VRT/COHR/AMD/HOOD/MU,Manufacturing,0.6,0.03755625287691749,0.032150250673294044,0.045387579997380585,30,30
2025-11-04,True,Manufacturing,1.0,5,0,1.0529601439999998,NO-NEWS;NO-NEWS;POS;POS;POS;NO-NEWS;POS;POS;NO-NEWS;NEUTRAL,SNDK/LITE/WDC/STX/AMD/CIEN/INTC/MU/COHR/SMCI,Manufacturing,0.7,-0.011092128356297786,0.02831763823827108,0.01697311600049337,30,30
2025-11-05,False,Manufacturing,0.9,4,0,3.67214924,POS;NO-NEWS;POS;NO-NEWS;NO-NEWS;POS;NO-NEWS;POS;NEUTRAL;NO-NEWS,MU/STX/WDC/SNDK/CIEN/AMD/LITE/VRT/WBD/COHR,Manufacturing,0.7333333333333333,0.0031861186027526797,0.019128978252410878,-0.027187176545460993,30,30
2025-11-06,True,Manufacturing,0.8,5,0,5.75286203,POS;NO-NEWS;POS;POS;NO-NEWS;NEUTRAL;POS;POS;NO-NEWS;NEUTRAL,TER/SNDK/MU/LITE/STX/ORCL/AMD/WDC/CIEN/WBD,Manufacturing,0.6,0.02957693934440609,0.01811261773109436,-0.026355950037638323,30,30
2025-11-07,True,Manufacturing,0.9,6,0,2.726545976999999,POS;POS;STRONG-POS;NEG;POS;NO-NEWS;POS;POS;NEUTRAL;NO-NEWS,WDC/LITE/MU/SMCI/STX/SNDK/TER/AMD/ORCL/CIEN,Manufacturing,0.5666666666666667,-0.013388798634211203,-0.06063901782035825,-0.07165980537732437,30,30
2025-11-10,True,Manufacturing,0.9,7,0,6.57695958,NEG;POS;POS;POS;NO-NEWS;POS;POS;STRONG-POS;NO-NEWS;POS,SMCI/ORCL/TER/WDC/CIEN/STX/LITE/MU/SNDK/AMD,Manufacturing,0.6333333333333333,0.0033441603183746163,-0.041293748219807906,-0.06505016287167864,30,30
2025-11-11,True,Manufacturing,0.9,7,0,10.248950189999999,POS;POS;POS;POS;POS;NEG;POS;POS;NO-NEWS;NEUTRAL,STX/COHR/MU/LITE/SNDK/DXCM/ORCL/AMD/CIEN/SMCI,Manufacturing,0.6666666666666666,-0.04893195827802019,-0.06304693420728043,-0.06580248673756912,30,30
2025-11-12,True,Manufacturing,0.9,8,0,8.069058624,POS;STRONG-POS;POS;POS;POS;POS;NEG;POS;NEUTRAL;POS,STX/WDC/COHR/SNDK/LITE/MU/DXCM/AMD/SMCI/DDOG,Manufacturing,0.5333333333333333,0.005254260698954264,-0.013701655467351258,-0.061814659833908034,30,30
2025-11-13,False,Manufacturing,1.0,7,0,-2.86472268,POS;STRONG-POS;POS;NEUTRAL;NO-NEWS;POS;POS;POS;POS;NO-NEWS,STX/WDC/COHR/LITE/CIEN/SNDK/MU/TER/AMD/VRT,Manufacturing,0.5666666666666667,-0.0134684920310974,-0.012684720754623404,-0.05643489162127175,30,30
2025-11-14,False,Manufacturing,0.9,5,0,-3.89496682,NO-NEWS;POS;NO-NEWS;POS;NO-NEWS;NO-NEWS;NEUTRAL;POS;POS;POS,COHR/STX/CIEN/SNDK/TER/LITE/SMCI/WDC/MU/HOOD,Manufacturing,0.6,-0.010097752014795926,-0.0621921082337697,-0.0062554955482482825,30,30
2025-11-17,False,Manufacturing,0.9,4,0,-7.17042685,NO-NEWS;NEUTRAL;NO-NEWS;NO-NEWS;POS;NO-NEWS;POS;POS;POS;NEG,STX/TER/LITE/COHR/HOOD/CIEN/MU/SNDK/WDC/DXCM,Manufacturing,0.7,0.011572841803232817,-0.0322170853614807,0.020284082492192556,30,30
