variant,month,IC,IC_std,n_days,long_ann,ls_ann,long_dd,ls_dd,long_total_ret,ls_total_ret
A_Alpha158_MSE,2025-05,-0.008811631799998262,0.14378011220768627,21,0.5027097,-0.0331753,-0.026076078,-0.039037406,0.04191363,-0.0038468838
B_Alpha158+Fund_MSE,2025-05,0.0023807651499181846,0.10147126207244328,21,-0.22083732,-0.537435,-0.024052978,-0.069545805,-0.018611431,-0.04502517
C_Alpha158_LR,2025-05,0.053375486290503434,0.2841884557727327,21,1.2256335,1.5418088,-0.02595818,-0.048984826,0.1052773,0.13168764
D_Alpha158+Fund_LR,2025-05,0.03910680737348813,0.1877426074468496,21,1.1046177,1.475718,-0.03993684,-0.05508703,0.09454095,0.12687433
A_Alpha158_MSE,2025-06,0.016860924221111864,0.10291245055789688,20,0.35660776,0.37666672,-0.020706415,-0.03106463,0.02808857,0.02963841
B_Alpha158+Fund_MSE,2025-06,0.023592477451209456,0.06570402435196836,20,0.47822613,0.36153147,-0.013779819,-0.015530825,0.03817451,0.028506756
C_Alpha158_LR,2025-06,0.06955071396202389,0.1762045392729835,20,0.534146,0.9188554,-0.022724688,-0.02285105,0.04199457,0.07364893
D_Alpha158+Fund_LR,2025-06,0.03283666913151782,0.10422010305423682,20,0.5860211,0.7560588,-0.017726898,-0.016851544,0.046471834,0.060624838
A_Alpha158_MSE,2025-07,0.016919146434015656,0.07785310865284449,22,0.011829114,-0.07193413,-0.023712695,-0.031373024,0.00059497356,-0.006964445
B_Alpha158+Fund_MSE,2025-07,0.028889641539360352,0.10038388531400334,22,0.38034484,0.5317627,-0.01835078,-0.020214856,0.033287406,0.04670894
C_Alpha158_LR,2025-07,0.03411127409746823,0.14441771817687574,22,0.29278037,0.5882975,-0.027837694,-0.023162961,0.02505052,0.051395893
D_Alpha158+Fund_LR,2025-07,0.024851072363140866,0.09631545435532428,22,0.31190592,0.38378137,-0.03411746,-0.03079164,0.026916146,0.03321302
A_Alpha158_MSE,2025-08,-0.012977841921194055,0.06471430764571864,21,-0.16974753,-0.4249777,-0.031016171,-0.04665482,-0.014523506,-0.035134375
B_Alpha158+Fund_MSE,2025-08,0.010306014301353921,0.06789092965444474,21,-0.18387641,-0.07532647,-0.01826948,-0.015188336,-0.015475333,-0.0066762567
C_Alpha158_LR,2025-08,0.013879646243469726,0.16287200455821474,21,0.31536156,0.19907282,-0.0294168,-0.034550905,0.025559902,0.01518476
D_Alpha158+Fund_LR,2025-08,0.03250523588075514,0.09144688732507164,21,-0.11992374,0.07179159,-0.039927244,-0.030605257,-0.010561466,0.0052289963
A_Alpha158_MSE,2025-09,0.019401900441130146,0.07366172515880577,21,0.8850605,0.52278864,-0.011435926,-0.03022641,0.07608652,0.04404521
B_Alpha158+Fund_MSE,2025-09,0.01450998052707677,0.06098686342695516,21,0.6138426,0.10509346,-0.013418019,-0.026358664,0.052091837,0.008352995
C_Alpha158_LR,2025-09,0.07698341553262167,0.11204270298936884,21,1.6250945,1.7561135,-0.004319072,-0.004369557,0.14378858,0.15623057
D_Alpha158+Fund_LR,2025-09,0.04584732751197419,0.06781447493368618,21,0.8958962,1.0109252,-0.010391414,-0.005396247,0.077028036,0.08739734
A_Alpha158_MSE,2025-10,0.022330859999144265,0.1340080138778877,23,0.3277011,0.36322725,-0.022561789,-0.0303936,0.029019356,0.032344103
B_Alpha158+Fund_MSE,2025-10,0.00790716849771022,0.06882180333659123,23,0.5381065,0.34729466,-0.012451649,-0.014413774,0.049674153,0.031733274
C_Alpha158_LR,2025-10,0.02632278109809225,0.23248424356636058,23,0.31498268,0.7238642,-0.037463725,-0.04172063,0.026191711,0.06356597
D_Alpha158+Fund_LR,2025-10,0.009570292217582842,0.13271444768692195,23,0.2833228,0.31032947,-0.036652327,-0.048894763,0.024588943,0.026474237
A_Alpha158_MSE,2025-11,0.029166290516952128,0.13218937697145866,19,0.09903629,0.01076742,-0.04805696,-0.059965372,0.006508112,-0.00045508146
B_Alpha158+Fund_MSE,2025-11,0.021167977277760566,0.11383452143190136,19,0.29476774,-0.05825152,-0.03592086,-0.049173295,0.021773696,-0.005164206
C_Alpha158_LR,2025-11,0.049518048685944234,0.26828796543306094,19,0.15178971,0.4156999,-0.09818375,-0.11588943,0.007329464,0.02531755
D_Alpha158+Fund_LR,2025-11,0.02442542211458706,0.1610590636952952,19,-0.244988,0.10609589,-0.09586698,-0.09221423,-0.02053094,0.005286455
A_Alpha158_MSE,2025-12,0.007161586125886316,0.07317574095391233,22,0.04382975,0.24931028,-0.038651288,-0.023696244,0.003070712,0.021419644
B_Alpha158+Fund_MSE,2025-12,0.02304732855566732,0.06816076531303901,22,0.3193563,0.44020188,-0.031035423,-0.009357154,0.027792454,0.038698554
C_Alpha158_LR,2025-12,0.015287711401416049,0.20056902320392245,22,0.3899687,0.52526164,-0.05538535,-0.07194358,0.032847643,0.04414177
D_Alpha158+Fund_LR,2025-12,0.014866260801615433,0.07096968442032274,22,-0.10370788,0.12755267,-0.04742831,-0.037914753,-0.009670973,0.0105166435
A_Alpha158_MSE,2026-01,-0.010802109826973716,0.11952159775264411,20,-0.33088776,-0.46710026,-0.040140867,-0.04890454,-0.026854038,-0.037513196
B_Alpha158+Fund_MSE,2026-01,-0.02739368057100543,0.10184097868472268,20,-0.48409504,-1.0094559,-0.051810622,-0.08643478,-0.038482785,-0.07832873
C_Alpha158_LR,2026-01,0.031674292749046054,0.19345742697900223,20,0.95080966,1.3240045,-0.053572,-0.0623914,0.07471323,0.10569942
D_Alpha158+Fund_LR,2026-01,0.009327380880986847,0.11462806844837237,20,0.44135097,0.28737828,-0.051823378,-0.059802353,0.032911897,0.019868374
A_Alpha158_MSE,2026-02,-0.011877619614326753,0.1060633422120645,19,0.008676336,-0.46467158,-0.029606879,-0.041469753,-0.00088864565,-0.036591053
B_Alpha158+Fund_MSE,2026-02,-0.002721128287019161,0.11881656285034638,19,-0.4411227,-0.6043809,-0.043326497,-0.060045183,-0.0337162,-0.045650303
C_Alpha158_LR,2026-02,0.021415726280300768,0.19808957721559492,19,-0.032955267,-0.22533745,-0.022313356,-0.030226946,-0.005130589,-0.021154583
D_Alpha158+Fund_LR,2026-02,0.0060936918670149425,0.14099476204115086,19,-0.10046847,-0.3103333,-0.02257365,-0.031609,-0.010430336,-0.027638674
A_Alpha158_MSE,2026-03,0.014981082580419204,0.12939578055691298,22,0.19226198,0.17013326,-0.054450333,-0.068379045,0.015783906,0.013042092
B_Alpha158+Fund_MSE,2026-03,0.03168614494487937,0.1075449064894146,22,-0.11099541,0.13378073,-0.034374535,-0.041768014,-0.010680854,0.010581732
C_Alpha158_LR,2026-03,0.04771557874784307,0.16607127988935638,22,0.22842358,0.24279228,-0.061747193,-0.08269352,0.018602252,0.01799941
D_Alpha158+Fund_LR,2026-03,0.03583792784794854,0.12446282413968937,22,0.0901763,0.33242533,-0.054609656,-0.05060488,0.006364107,0.02759695
A_Alpha158_MSE,2026-04,0.03031468447421996,0.16771731199567416,15,0.9248558,0.761767,-0.03200394,-0.05262792,0.05529833,0.0440706
B_Alpha158+Fund_MSE,2026-04,0.016949734797941107,0.14583751429816452,15,0.82810956,0.57226795,-0.02665174,-0.04227358,0.04958093,0.03300321
C_Alpha158_LR,2026-04,0.10374650592871205,0.18934273427239906,15,1.2960179,1.8667253,-0.024688244,-0.042017817,0.07845914,0.11379433
D_Alpha158+Fund_LR,2026-04,0.03615550684247882,0.08802297886969432,15,0.98718625,0.771575,-0.023328304,-0.03888136,0.05961418,0.045637846
