symbol,sic_code,sic_description,industry,sector
A,3826,LABORATORY ANALYTICAL INSTRUMENTS,stocks,Manufacturing
AAPL,3571,ELECTRONIC COMPUTERS,stocks,Manufacturing
ABBV,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
ABNB,7340,SERVICES-TO DWELLINGS & OTHER BUILDINGS,stocks,Services
ABT,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
ACGL,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
ACN,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
ADBE,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
ADI,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
ADM,2070,FATS & OILS,stocks,Manufacturing
ADP,7374,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,stocks,Services
ADSK,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
AEE,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
AEP,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
AES,4991,COGENERATION SERVICES & SMALL POWER PRODUCERS,stocks,Transportation_Utilities
AFL,6321,ACCIDENT & HEALTH INSURANCE,stocks,Finance_Insurance_RealEstate
AIG,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
AIZ,6399,"INSURANCE CARRIERS, NEC",stocks,Finance_Insurance_RealEstate
AJG,6411,"INSURANCE AGENTS, BROKERS & SERVICE",stocks,Finance_Insurance_RealEstate
AKAM,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
ALB,2821,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",stocks,Manufacturing
ALGN,3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",stocks,Manufacturing
ALL,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
ALLE,7381,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",stocks,Services
AMAT,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
AMCR,3990,MISCELLANEOUS MANUFACTURING INDUSTRIES,stocks,Manufacturing
AMD,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
AME,3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",stocks,Manufacturing
AMGN,2836,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",stocks,Manufacturing
AMP,6282,INVESTMENT ADVICE,stocks,Finance_Insurance_RealEstate
AMT,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
AMZN,5961,RETAIL-CATALOG & MAIL-ORDER HOUSES,stocks,Retail
ANET,3576,COMPUTER COMMUNICATIONS EQUIPMENT,stocks,Manufacturing
AON,6411,"INSURANCE AGENTS, BROKERS & SERVICE",stocks,Finance_Insurance_RealEstate
AOS,3630,HOUSEHOLD APPLIANCES,stocks,Manufacturing
APA,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
APD,2810,INDUSTRIAL INORGANIC CHEMICALS,stocks,Manufacturing
APH,3678,ELECTRONIC CONNECTORS,stocks,Manufacturing
APO,6282,INVESTMENT ADVICE,stocks,Finance_Insurance_RealEstate
APP,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",stocks,Services
APTV,3714,MOTOR VEHICLE PARTS & ACCESSORIES,stocks,Manufacturing
ARE,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
ARES,6282,INVESTMENT ADVICE,stocks,Finance_Insurance_RealEstate
ATO,4924,NATURAL GAS DISTRIBUTION,stocks,Transportation_Utilities
AVB,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
AVGO,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
AVY,2670,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),stocks,Manufacturing
AWK,4941,WATER SUPPLY,stocks,Transportation_Utilities
AXON,3480,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)",stocks,Manufacturing
AXP,6199,FINANCE SERVICES,stocks,Finance_Insurance_RealEstate
AZO,5531,RETAIL-AUTO & HOME SUPPLY STORES,stocks,Retail
BA,3721,AIRCRAFT,stocks,Manufacturing
BAC,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
BALL,3411,METAL CANS,stocks,Manufacturing
BAX,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
BBY,5731,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",stocks,Retail
BDX,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
BEN,6282,INVESTMENT ADVICE,stocks,Finance_Insurance_RealEstate
BF.B,2080,BEVERAGES,stocks,Manufacturing
BG,2070,FATS & OILS,stocks,Manufacturing
