rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,MU,0.22407855255478723,0.0009940357852882703,411.66,0.04299581,0.22288561,0.774736,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
2,LITE,0.22407855255478723,0.002982107355864811,562.74,0.019474983,0.639351,0.8275418,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
3,COHR,0.22407855255478723,0.004970178926441352,217.23,-0.045897722,0.10854244,0.71476287,Manufacturing,OPTICAL INSTRUMENTS & LENSES
4,TER,0.22407855255478723,0.006958250497017893,314.66,0.0484823,0.38190603,0.7311127,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
5,SNDK,0.22407855255478723,0.008946322067594433,626.56,0.047846794,0.53103316,1.1616707,Manufacturing,COMPUTER STORAGE DEVICES
6,DDOG,0.2199499127335656,0.010934393638170975,125.2,0.12095976,0.035909295,0.8413212,Services,SERVICES-PREPACKAGED SOFTWARE
7,ORCL,0.2199499127335656,0.012922465208747515,160.14,0.12127149,-0.156492,0.63673353,Services,SERVICES-PREPACKAGED SOFTWARE
8,ALB,0.21935352005572156,0.014910536779324055,166.35,0.018240929,-0.042755187,0.7399345,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
9,ODFL,0.21620651295340398,0.016898608349900597,193.21,-0.04573512,0.08417034,0.58544564,Transportation_Utilities,TRUCKING (NO LOCAL)
10,CVNA,0.21327670822999298,0.018886679920477135,342.87,-0.15061814,-0.25605363,0.7633046,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
11,CEG,0.21287625343124011,0.020874751491053677,288.43,0.10332024,-0.15466005,0.58077115,Transportation_Utilities,ELECTRIC SERVICES
12,GLW,0.2105701727189635,0.02286282306163022,133.46,0.09250164,0.42753243,0.75591457,Manufacturing,DRAWING & INSULATING OF NONFERROUS WIRE
13,COIN,0.19963572068012012,0.02485089463220676,164.32,-0.004844904,-0.31327313,1.0464289,Finance_Insurance_RealEstate,FINANCE SERVICES
14,FIX,0.1979870081718216,0.0268389662027833,1337.95,0.08753431,0.22630692,0.5220684,Construction,ELECTRICAL WORK
15,STX,0.1972136600987517,0.02882703777335984,425.99,-0.0077564716,0.32988882,0.9487222,Manufacturing,COMPUTER STORAGE DEVICES
16,GNRC,0.19384828137636256,0.030815109343936383,224.45,0.22296083,0.390386,0.745301,Manufacturing,MOTORS & GENERATORS
17,PLTR,0.1931746100399282,0.032803180914512925,131.41,-0.033038914,-0.25786412,0.68883055,Services,SERVICES-PREPACKAGED SOFTWARE
18,MRNA,0.19258546093480114,0.03479125248508946,42.23,0.029748917,0.07291663,0.8259286,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
19,INTC,0.1925613984937524,0.036779324055666,46.79,-0.075113654,-0.031663895,1.001761,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
20,KLAC,0.19197719065977506,0.03876739562624255,1464.13,0.014678359,-0.052318454,0.75961304,Manufacturing,OPTICAL INSTRUMENTS & LENSES
21,TPL,0.19120066641469974,0.040755467196819085,432.31,0.18107808,0.30630934,0.47509694,Finance_Insurance_RealEstate,OIL ROYALTY TRADERS
22,TPR,0.18483276384735386,0.042743538767395624,153.8,0.011176825,0.1558696,0.49167156,Manufacturing,LEATHER & LEATHER PRODUCTS
23,WDC,0.18466729273799046,0.04473161033797217,281.58,-0.003538847,0.26780725,0.9335481,Manufacturing,COMPUTER STORAGE DEVICES
24,NCLH,0.18367108071290214,0.04671968190854871,21.49,-0.07847339,-0.06034112,0.7548122,Transportation_Utilities,WATER TRANSPORTATION
25,GEV,0.1828319939674328,0.048707753479125246,802.13,0.029229522,0.24897623,0.45838538,Manufacturing,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
26,VRT,0.18142258374702067,0.05069582504970179,234.53,0.19915128,0.35927904,1.0202321,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
27,APP,0.18115690701146336,0.05268389662027833,390.55,-0.039757133,-0.35657918,1.3302063,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
28,CIEN,0.18068005177333038,0.05467196819085487,303.92,0.12015331,0.24664676,0.63418907,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
29,LYB,0.17777279440443672,0.05666003976143141,57.61,0.045553565,0.132272,0.538653,Manufacturing,INDUSTRIAL ORGANIC CHEMICALS
30,CAT,0.17649450726564156,0.05864811133200795,774.2,0.0660975,0.19626689,0.4386003,Manufacturing,CONSTRUCTION MACHINERY & EQUIP
31,EME,0.17649450726564156,0.06063618290258449,800.82,0.047713757,0.17399907,0.40194675,Construction,ELECTRICAL WORK
32,EXPE,0.17387698261755516,0.06262425447316103,212.67,-0.10208994,-0.27732092,0.68421334,Transportation_Utilities,TRANSPORTATION SERVICES
33,CRWD,0.17275814864126862,0.06461232604373758,429.64,0.086321115,-0.055736244,0.53588015,Services,SERVICES-PREPACKAGED SOFTWARE
34,LUV,0.1675530582203201,0.06660039761431412,51.11,-0.05805379,0.18584692,0.75611466,Transportation_Utilities,"AIR TRANSPORTATION, SCHEDULED"
35,RCL,0.16470995040375006,0.06858846918489066,319.61,-0.08158052,0.14922154,0.81426126,Transportation_Utilities,WATER TRANSPORTATION
36,EL,0.16418607397921758,0.0705765407554672,108.24,0.08816731,-0.06407267,0.7705891,Manufacturing,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
37,ALGN,0.1615735021095748,0.07256461232604373,186.77,-0.0044243336,0.08922851,0.5541088,Manufacturing,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
38,AXON,0.16135416274794503,0.07455268389662027,429.67,0.037349105,-0.3256799,0.6076322,Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
39,ON,0.1576116174683828,0.07654075546719682,72.21,0.107515335,0.19790971,0.47366047,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
40,FDX,0.15696979779742132,0.07852882703777336,374.72,0.014868736,0.19657683,0.30520225,Transportation_Utilities,AIR COURIER SERVICES
41,HOOD,0.15428050344561955,0.0805168986083499,75.97,-0.08270949,-0.31155413,0.92856574,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
42,EPAM,0.15347938628821148,0.08250497017892644,166.37,-0.10879576,-0.22704893,0.69586414,Services,SERVICES-COMPUTER PROGRAMMING SERVICES
43,SATS,0.1531742011180044,0.08449304174950298,113.15,0.013797998,-0.08417648,0.64684886,Transportation_Utilities,"COMMUNICATIONS SERVICES, NEC"
44,MPWR,0.153003752806782,0.08648111332007952,1171.47,-0.047445953,0.1603998,0.542405,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
45,CNC,0.15219756974770757,0.08846918489065607,40.58,0.055122256,-0.14152735,0.52796066,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
46,CCL,0.1475606874958358,0.09045725646123261,31.77,-0.06531334,0.079144,0.58811784,Transportation_Utilities,WATER TRANSPORTATION
47,XYZ,0.1455206107203285,0.09244532803180915,49.8,-0.11023766,-0.23290205,0.5977155,Services,SERVICES-PREPACKAGED SOFTWARE
48,QCOM,0.14418672296777485,0.09443339960238568,140.7,0.024464846,-0.1281988,0.37742692,Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
49,PODD,0.14105325940297012,0.09642147117296222,242.74,0.003348112,-0.15271032,0.2752778,Manufacturing,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
50,CRL,0.14004373788888436,0.09840954274353876,161.35,-0.1472438,-0.27797914,0.5297298,Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
51,NEM,0.1364295117026042,0.10039761431411531,125.8,0.09087753,0.10147977,0.72288567,Mining,GOLD AND SILVER ORES
52,CHRW,0.1346978773594542,0.10238568588469185,176.01,-0.12253851,0.003878355,0.62142694,Transportation_Utilities,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
53,Q,0.13422768626508774,0.10437375745526839,111.69,0.13714111,0.1994201,0.6722082,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
54,ARE,0.13376730848806115,0.10636182902584493,52.49,-0.061001778,-0.08330417,0.47525254,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
55,ADSK,0.13286158224115405,0.10834990059642147,231.22,-0.03818631,-0.11835587,0.4588996,Services,SERVICES-PREPACKAGED SOFTWARE
56,WDAY,0.1321728084914471,0.110337972166998,144.42,-0.11355269,-0.2506227,0.5654916,Services,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
57,FDS,0.1256163024116098,0.11232604373757456,205.79,-0.007379949,-0.28959543,0.61050284,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
58,CRM,0.12509914918912163,0.1143141153081511,189.72,-0.008518457,-0.187599,0.4406575,Services,SERVICES-PREPACKAGED SOFTWARE
59,PYPL,0.12509914918912163,0.11630218687872763,40.29,-0.0032161474,-0.28991896,0.76934284,Services,"SERVICES-BUSINESS SERVICES, NEC"
60,SNPS,0.12491367296141542,0.11829025844930417,437.09,0.023917675,-0.13990831,0.49404472,Services,SERVICES-PREPACKAGED SOFTWARE
61,SW,0.12463492274069596,0.12027833001988071,51.56,0.16810155,0.18993771,0.5766383,Manufacturing,PAPERBOARD CONTAINERS & BOXES
62,DOW,0.11953955539752188,0.12226640159045726,32.49,0.022341132,0.16284895,0.5661079,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
63,DLTR,0.11770381059501453,0.1242544731610338,126.06,0.01800847,-0.10728705,0.37200692,Retail,RETAIL-VARIETY STORES
64,FICO,0.11629051254647668,0.12624254473161034,1344.74,-0.03325665,-0.14953923,0.43677014,Services,"SERVICES-BUSINESS SERVICES, NEC"
65,UNH,0.11577190192020698,0.12823061630218688,293.19,0.059786797,-0.13503063,0.7912732,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
66,BALL,0.11540613656378643,0.13021868787276342,67.29,0.012336373,0.2039721,0.37624395,Manufacturing,METAL CANS
67,AMD,0.11376913709908881,0.13220675944333996,207.32,-0.0053732395,-0.090382576,0.8578755,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
68,HUM,0.11337965406233788,0.1341948310139165,184.1,-0.05073732,-0.35164642,0.8295339,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
69,IT,0.11261570845142503,0.13618290258449303,158.58,0.014392614,-0.31165898,0.86222965,Services,SERVICES-MANAGEMENT SERVICES
70,ARES,0.10765605775647447,0.13817097415506957,133.88,0.026214957,-0.21047354,0.69404465,Finance_Insurance_RealEstate,INVESTMENT ADVICE
71,ADBE,0.1067340016931569,0.14015904572564614,263.97,-0.016431928,-0.13193458,0.38684267,Services,SERVICES-PREPACKAGED SOFTWARE
72,CSGP,0.1067340016931569,0.14214711729622267,44.99,-0.10521078,-0.29015464,0.65685934,Services,"SERVICES-BUSINESS SERVICES, NEC"
73,VRSK,0.10631212582375237,0.1441351888667992,181.21,0.011781096,-0.18392253,0.45558724,Services,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
74,TTWO,0.10624723934820084,0.14612326043737575,193.67,-0.009816468,-0.20737499,0.5235151,Services,SERVICES-PREPACKAGED SOFTWARE
75,LULU,0.10323905287539817,0.1481113320079523,176.42,0.020653725,-0.13945657,0.5128559,Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
76,ACN,0.10296973314724076,0.15009940357852883,224.23,-0.06811571,-0.2208013,0.49048322,Services,"SERVICES-BUSINESS SERVICES, NEC"
77,IQV,0.09975579206169569,0.15208747514910537,166.94,-0.10960585,-0.30810678,0.64242107,Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
78,INTU,0.09947006424175672,0.1540755467196819,399.4,-0.09998423,-0.27981538,0.55559695,Services,SERVICES-PREPACKAGED SOFTWARE
79,MCO,0.09776612177726057,0.15606361829025844,426.44,-0.05757028,-0.2097255,0.43330452,Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
80,JBHT,0.09728403530405394,0.15805168986083498,221.76,-0.026984394,0.073794246,0.36361074,Transportation_Utilities,TRUCKING (NO LOCAL)
81,LRCX,0.09374979587951025,0.16003976143141152,235.53,0.019566298,0.08304596,0.6449018,Manufacturing,"SPECIAL INDUSTRY MACHINERY, NEC"
82,CTSH,0.09358692991937244,0.16202783300198806,66.55,-0.13661128,-0.2153973,0.51350385,Services,SERVICES-COMPUTER PROGRAMMING SERVICES
83,TTD,0.09011802560588471,0.16401590457256462,25.81,-0.04548824,-0.28760695,0.562294,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
84,UBER,0.08979174092384895,0.16600397614314116,69.99,-0.06392938,-0.17053807,0.2936374,Services,"SERVICES-BUSINESS SERVICES, NEC"
85,SPGI,0.0896779052509891,0.1679920477137177,409.54,-0.0677017,-0.24914283,0.5902389,Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
86,NOW,0.08741232907535935,0.16998011928429424,107.08,0.06293428,-0.18365479,0.64721346,Services,SERVICES-PREPACKAGED SOFTWARE
87,TYL,0.08649734517889114,0.17196819085487078,303.94,-0.1274867,-0.3187493,0.79089075,Services,SERVICES-PREPACKAGED SOFTWARE
88,BR,0.08370107312538098,0.17395626242544732,173.7,-0.04513222,-0.20815098,0.4351014,Services,"SERVICES-BUSINESS SERVICES, NEC"
89,SWK,0.0816512475885757,0.17594433399602386,91.06,0.018682122,0.078909874,0.35913852,Manufacturing,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
90,BKNG,0.07693997337383977,0.1779324055666004,165.624,-0.071024954,-0.20266664,0.43833458,Transportation_Utilities,TRANSPORTATION SERVICES
91,DVA,0.07533044608813856,0.17992047713717693,148.95,0.057658076,0.407313,0.8444475,Services,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC"
92,PSKY,0.06155520898753431,0.18190854870775347,10.32,-0.02272731,-0.12764162,0.3362314,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
93,DASH,0.05607590592260864,0.18389662027833,160.34,-0.12128025,-0.23687595,0.42553586,Services,"SERVICES-BUSINESS SERVICES, NEC"
94,LMT,0.05519730304277894,0.18588469184890655,652.58,0.04650569,0.129246,0.30274364,Manufacturing,GUIDED MISSILES & SPACE VEHICLES & PARTS
95,AMAT,0.05382106815927476,0.1878727634194831,354.91,0.10046196,0.11229169,0.5922826,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
96,BSX,0.053589465922000354,0.18986083499005965,74.73,-0.020191312,-0.16994333,0.6825453,Manufacturing,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
97,KKR,0.052329120771370266,0.1918489065606362,101.73,-0.014244139,-0.22532749,0.52625525,Finance_Insurance_RealEstate,INVESTMENT ADVICE
98,HII,0.051490461183551245,0.19383697813121273,418.78,0.05281949,-0.00019097328,0.57495415,Manufacturing,SHIP & BOAT BUILDING & REPAIRING
99,FOX,0.05103080142658873,0.19582504970178927,51.56,-0.116366684,-0.21426398,0.34206766,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
100,AKAM,0.05052286415990874,0.1978131212723658,111.76,0.17543125,0.22102046,0.61547804,Services,"SERVICES-BUSINESS SERVICES, NEC"
101,IRM,0.04974235581650906,0.19980119284294234,109.83,0.14669037,0.18517327,0.44535017,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
102,DECK,0.04478075494994906,0.20178926441351888,115.73,0.002425313,0.1228292,0.7763795,Manufacturing,RUBBER & PLASTICS FOOTWEAR
103,FCX,0.042859177051650765,0.20377733598409542,62.84,0.035767317,0.048032045,0.57675654,Mining,METAL MINING
104,GDDY,0.03273928923056503,0.20576540755467196,89.12,-0.08331615,-0.16981834,0.39181733,Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
105,ROP,0.032592510566134256,0.2077534791252485,321.41,-0.11315602,-0.22411585,0.5146487,Manufacturing,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
106,BLDR,0.03209164160592062,0.20974155069582506,114.73,-0.077881336,-0.11034429,0.47208178,Retail,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
107,XOM,0.031263300797063596,0.2117296222664016,148.45,-0.004025519,0.1496166,0.2828945,Manufacturing,PETROLEUM REFINING
108,TXN,0.027975999241039648,0.21371769383697814,226.16,0.021314979,0.19585454,0.42448583,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
109,FOXA,0.0268597571917103,0.21570576540755468,56.35,-0.13013273,-0.22329432,0.3486027,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
110,VTRS,0.025124916540241172,0.21769383697813122,15.77,0.08161867,0.22819316,0.3651357,Manufacturing,PHARMACEUTICAL PREPARATIONS
