"rank","instrument","score","pct_rank","close","ret_5d","ret_20d","ann_vol_20d","sector","sic_description","news_count_5d","news_pos_count_5d","news_neg_count_5d","news_sentiment","most_recent_published_utc","pub_lag_days","pub_hour_utc","most_recent_title","most_recent_reasoning","most_recent_keywords","rule_avoid_high_precision","rule_buy_high_precision","rule_buy_legal_veto"
"1","CIEN","0.23331851929666808","0.0009940357852882703","527.5800170898438","0.022739291191101074","0.27008354663848877","0.7211150527000427","Manufacturing","TELEPHONE & TELEGRAPH APPARATUS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"2","STX","0.23331851929666808","0.002982107355864811","673.6400146484375","0.14638710021972656","0.5920779705047607","0.5097754001617432","Manufacturing","COMPUTER STORAGE DEVICES","6","5","0","STRONG-POS","2026-04-29T22:19:18Z","0.06993055555555555","22.0","Stock Market Today, April 29: Mixed Reactions as Big Tech Earnings Beat Expectations","Jumped on strong earnings announcement.","Fed rate decision;Big Tech earnings;AI spending;megacap earnings;market movers","False","False","False"
"3","ON","0.23331851929666808","0.004970178926441352","100.80999755859375","0.030987977981567383","0.6207394599914551","0.575776994228363","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","5","5","0","STRONG-POS","2026-04-29T12:26:00Z","0.48194444444444445","12.0","AI Is Reviving an Overlooked Chip Category—and These 3 Names Are Riding the Demand","Share price soared 73% YTD with strong free cash flow margin of 24% in 2025, $1.4 billion stock buyback completed and $6 billion new buyback program initiated, over $250 million in AI revenue with expected 20% sequential growth. However, valuation concerns exist with P/E ratio ar","analog chips;semiconductors;AI data centers;power delivery;signal management","False","False","False"
"4","COHR","0.23331851929666808","0.006958250497017893","319.7099914550781","-0.05321604013442993","0.29019367694854736","0.6642870903015137","Manufacturing","OPTICAL INSTRUMENTS & LENSES","2","0","0","NEUTRAL","2026-04-29T18:34:01Z","0.22637731481481482","18.0","Waters Parkerson Bets $3 Million on a CBIZ Rebound","Listed as Waters Parkerson's second-largest holding (5.1% of AUM, $98.5M). No specific news or analysis provided regarding the company itself.","CBIZ acquisition;Marcum LLP integration;contrarian investment;professional services;post-merger headwinds","False","False","False"
"5","INTC","0.23331851929666808","0.008946322067594433","94.4800033569336","0.414794921875","0.9671039581298828","0.9924636483192444","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","35","28","2","POS","2026-04-30T19:48:00Z","-0.825","19.0","Microsoft Earnings Look Strong, But Investors Focus on Risks","Mentioned in context of Microsoft's increased GPU/CPU component pricing ($25B of $40B quarterly capex), which has negative implications for chipmaker earnings and Intel's competitive position.","Microsoft earnings;Azure cloud growth;AI revenue;capital expenditures;OpenAI relationship","False","False","False"
"6","DELL","0.22648594914123782","0.010934393638170975","208.9499969482422","-0.015037238597869873","0.23361670970916748","0.5587541460990906","Manufacturing","ELECTRONIC COMPUTERS","1","0","0","NEUTRAL","2026-04-29T13:12:40Z","0.449537037037037","13.0","What's Going On With Nvidia Stock Today?","Currently evaluating Nemotron capabilities, but no adoption or partnership details provided","Nemotron 3 Nano Omni;multimodal AI model;open source;physical artificial intelligence;strategic partnerships","False","False","False"
"7","AMD","0.2187451584338951","0.012922465208747515","354.489990234375","0.16100609302520752","0.6863611936569214","0.637441873550415","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","25","14","3","POS","2026-04-30T19:48:00Z","-0.825","19.0","Microsoft Earnings Look Strong, But Investors Focus on Risks","Similar to NVIDIA, increased CPU component pricing from Microsoft's capex could pressure earnings despite strong AI infrastructure demand.","Microsoft earnings;Azure cloud growth;AI revenue;capital expenditures;OpenAI relationship","False","False","False"
"8","CCL","0.2135503004409465","0.014910536779324055","26.510000228881836","-0.005253255367279053","-0.0026335716247558594","0.6405242085456848","Transportation_Utilities","WATER TRANSPORTATION","2","2","0","POS","2026-04-28T11:20:00Z","1.5277777777777777","11.0","Down 25% in 1 Month, Is Carnival Stock a Bargain or a Trap? Here's the Honest Answer.","Despite near-term fuel cost headwinds reducing fiscal 2026 earnings guidance, Carnival maintains strong fundamentals including record 103% occupancy, record bookings extending into 2028, and a low 12x P/E ratio well below competitors. Earnings are still expected to grow year-over","cruise line;fuel prices;valuation;earnings;occupancy rates","False","False","False"
"9","APA","0.21308716699956295","0.016898608349900597","40.72999954223633","0.053543686866760254","-0.014993906021118164","0.5802282691001892","Mining","CRUDE PETROLEUM & NATURAL GAS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"10","WDC","0.2092945486622215","0.018886679920477135","434.5199890136719","0.07789242267608643","0.45944297313690186","0.4348343312740326","Manufacturing","COMPUTER STORAGE DEVICES","4","3","0","STRONG-POS","2026-04-30T12:25:37Z","-0.5177893518518518","12.0","Are Semiconductor Stocks The Market's 'North Star'? AI Chip Demand Powers Record Tech Share","Stock jumped approximately 841% over the past year, benefiting from strong semiconductor sector growth","semiconductor stocks;AI chip demand;market dominance;technology sector;semiconductor ETFs","False","False","False"
